name;db-number;description;database;path;usedby;category;viewpoints;exemplars
Orange can;616;soft drink;ALOI (2005);;;;+;
Zodium toothpaste;625;standing;ALOI (2005);;;;+;
white plug 3;631;;ALOI (2005);;;;+;
blue shampoo;632;;ALOI (2005);;;;+;
stampler;642;good one;ALOI (2005);;;;+;
green flower;646;;ALOI (2005);;;;+;
Apple;649;;ALOI (2005);;;;+;
lemon;651;;ALOI (2005);;;;+;
fake strawberry 2;655;;ALOI (2005);;;;+;
fake melon;656;;ALOI (2005);;;;+;
yellow/red strawberry;661;;ALOI (2005);;;;+;
fake pear;666;small;ALOI (2005);;;;+;
mushroom;669;small;ALOI (2005);;;;+;
white hook;680;;ALOI (2005);;;;+;
shower cream;681;Tube;ALOI (2005);;;;+;
baseball;687;;ALOI (2005);;;;+;
green fish;696;bit childish;ALOI (2005);;;;+;
white alarm;701;boxy shape common appearance;ALOI (2005);;;;+;
green capsicum;705;real fruit;ALOI (2005);;;;+;
red capsicum;706;real fruit;ALOI (2005);;;;+;
mango;707;real fruit;ALOI (2005);;;;+;
kiwi;708;real fruit;ALOI (2005);;;;+;
big mushroom;709;real fruit;ALOI (2005);;;;+;
apple;710;real fruit;ALOI (2005);;;;+;
small mushroom;711;real fruit;ALOI (2005);;;;+;
mandarin;712;real fruit;ALOI (2005);;;;+;
lemon;713;real fruit;ALOI (2005);;;;+;
onion;714;real fruit;ALOI (2005);;;;+;
small onion;717;real fruit;ALOI (2005);;;;+;
garlic;718;real fruit;ALOI (2005);;;;+;
red onion;720;real fruit;ALOI (2005);;;;+;
pear;721;real fruit;ALOI (2005);;;;+;
lemon;722;real fruit;ALOI (2005);;;;+;
french bean;724;real fruit;ALOI (2005);;;;+;
Pocket knife;737;;ALOI (2005);;;;+;
Light yellow flower;738;;ALOI (2005);;;;+;
Yellow flower;739;;ALOI (2005);;;;+;
Teddy bear;752;;ALOI (2005);;;;+;
purple book Koenderink;757;lying;ALOI (2005);;;;+;
round baskeet;759;;ALOI (2005);;;;+;
Zwistal bottle;760;~ sun lotion;ALOI (2005);;;;+;
hot chocolate cup;763;regular cup;ALOI (2005);;;;+;
book;768;lying;ALOI (2005);;;;+;
vase;786;;ALOI (2005);;;;+;
pen;788;small;ALOI (2005);;;;+;
pepper mill;790;wooden;ALOI (2005);;;;+;
yellow cup;794;;ALOI (2005);;;;+;
isostar bottle;798;lying bottle;ALOI (2005);;;;+;
ball;802;red Nike foot ball;ALOI (2005);;;;+;
balloon;806;aufgeblasen;ALOI (2005);;;;+;
Water sprayer;809;Giessssanne good one!;ALOI (2005);;;;+;
bottle SPA;816;lying plastic bottle;ALOI (2005);;;;+;
shoe;826;hiking shoe lying;ALOI (2005);;;;+;
cup;827;ornage;ALOI (2005);;;;+;
bottle Vitel;829;standing good one;ALOI (2005);;;;+;
bar-le-duc bottle;831;;ALOI (2005);;;;+;
plant in pot;845;;ALOI (2005);;;;+;
pot;851;Blumentopf liegend;ALOI (2005);;;;+;
DE coffee sirop;863;regular bottle low contrast;ALOI (2005);;;;+;
pineapple;870;too big for frame else beautiful;ALOI (2005);;;;+;
jip&janneke balloon;871;balloon;ALOI (2005);;;;+;
plastic tea pot;875;regular Kanne;ALOI (2005);;;;+;
cauliflower;877;;ALOI (2005);;;;+;
cucumber;879;;ALOI (2005);;;;+;
carrot;880;;ALOI (2005);;;;+;
courgette;881;;ALOI (2005);;;;+;
orange;882;;ALOI (2005);;;;+;
sweet potato;885;;ALOI (2005);;;;+;
melon;888;;ALOI (2005);;;;+;
flower pot;902;Vase;ALOI (2005);;;;+;
ajax spray;910;Spruehflasche;ALOI (2005);;;;+;
coffee can;911;;ALOI (2005);;;;+;
hamer;920;;ALOI (2005);;;;+;
screwdrivers;923;;ALOI (2005);;;;+;
football;925;;ALOI (2005);;;;+;
sherry tomatos;947;;ALOI (2005);;;;+;
green capsicum;948;;ALOI (2005);;;;+;
banana’s;950;;ALOI (2005);;;;+;
yellow capsicum;953;;ALOI (2005);;;;+;
bread;957;;ALOI (2005);;;;+;
yellow towel;976;folded;ALOI (2005);;;;+;
blue towel;977;folded;ALOI (2005);;;;+;
head;979;straw hat;ALOI (2005);;;;+;
grolsch beer;986;bottle standing;ALOI (2005);;;;+;
pescado bottle;995;bottle lying;ALOI (2005);;;;+;
strawberry cake;1000;;ALOI (2005);;;;+;
